m1,m2,m3,mutated%,IA,IA_SD,EA,EA_SD,CA,CA_SD,UA,UA_SD,P,P_SD,NC_S,NC_SS,S,S_VAR
2,-2,-0.2,0,0.89906640625,0.0101134004434673,0.725609375,0.0224145118027448,0.702310546875,0.0243753295093695,0.696611328125,0.0259231472519357,0.69297265625,0.0275129250409926,2.656,1.38624096029514,6.39023081052067,1.10617581709927
2,-2,-0.2,0.2,0.763892578125,0.0154066445569052,0.34744921875,0.0186841458273545,0.289041015625,0.0198188184416405,0.250044921875,0.0228570682303033,0.041076171875,0.0173307835953276,49.77,5.85022221800161,11.8496427228281,0.282342992308452
2,-2,-0.2,0.3,0.729560546875,0.0149027757094699,0.2585,0.0159192383504427,0.200310546875,0.0159115591725459,0.159849609375,0.0172557075014532,0.018443359375,0.00637516604936543,53.884,5.16512768477221,5.58243932343188,0.10505623269121
2,-2,-0.2,0.4,0.710416015625,0.014384896363121,0.197177734375,0.0136151831022189,0.145943359375,0.0124395466563054,0.107091796875,0.0130612726684454,0.013068359375,0.00479849822075205,46.704,5.37293067143062,3.73160774410774,0.0706655587965337
2,-2,-0.2,0.5,0.696646484375,0.0146196345733004,0.14348046875,0.0113150780200879,0.09839453125,0.0105177397054088,0.0635078125,0.0100630004000191,0.006248046875,0.00215985866931972,39.09,4.92360640181562,2.08102233285419,0.03427525234967
2,-2,-0.2,0.6,0.699337890625,0.0141056709032078,0.11080078125,0.0108401252778762,0.074296875,0.00914855091731554,0.0455390625,0.00833761222340628,0.00489453125,0.00175668800838084,31.012,4.96264606837924,1.71794871794872,0.031707574882536
2,-2,-0.2,0.7,0.701923828125,0.014518075528784,0.080744140625,0.008762812144424,0.05274609375,0.00763693453978958,0.030828125,0.00623084956712365,0.003591796875,0.00139012428441599,23.594,4.36407653461759,1.38083500231089,0.027730008329561
2,-2,-0.2,0.8,0.7144453125,0.0141210240532841,0.0580390625,0.00734212498643367,0.038251953125,0.00630991635468146,0.02171484375,0.00539715834836295,0.0026640625,0.000969710335494899,18.082,4.14623636566947,1.19110493398193,0.0299766077897851
2,-2,-0.2,0.9,0.726634765625,0.0142008616172847,0.03977734375,0.0068931877232021,0.0275234375,0.00576239270422744,0.015578125,0.00478073935181568,0.00213671875,0.00083817057167772,13.66,3.83097898715198,1.10143576356517,0.0399055737919409
2,-2,-0.2,1,0.745587890625,0.0128289866001616,0.02303125,0.00500957944646733,0.01805859375,0.00438453028669673,0.010138671875,0.00368981395469522,0.001728515625,0.00074953955185495,9.248,3.18598430630159,1.05040175310446,0.059767102885794
